lon,lat,class_start,class_end,is_changed,transition_code,forest_loss,forest_gain,urbanization,mining_expansion
119.1233,-2.6927,0,0,0,0->0,0,0,0,0
119.3659,-2.6927,0,0,0,0->0,0,0,0,0
118.8853,-2.6882,2,2,0,2->2,0,0,0,0
119.0694,-2.6882,0,0,0,0->0,0,0,0,0
119.0739,-2.6882,0,0,0,0->0,0,0,0,0
119.1368,-2.6882,0,1,1,0->1,1,0,0,0
119.1458,-2.6882,1,1,0,1->1,0,0,0,0
119.1683,-2.6882,0,0,0,0->0,0,0,0,0
119.3704,-2.6882,0,0,0,0->0,0,0,0,0
119.3749,-2.6882,0,0,0,0->0,0,0,0,0
119.3794,-2.6882,0,0,0,0->0,0,0,0,0
119.4018,-2.6882,0,0,0,0->0,0,0,0,0
118.8538,-2.6837,1,1,0,1->1,0,0,0,0
118.8673,-2.6837,2,2,0,2->2,0,0,0,0
118.8763,-2.6837,2,2,0,2->2,0,0,0,0
118.9976,-2.6837,0,0,0,0->0,0,0,0,0
119.0515,-2.6837,1,1,0,1->1,0,0,0,0
119.1772,-2.6837,0,0,0,0->0,0,0,0,0
119.1817,-2.6837,1,1,0,1->1,0,0,0,0
119.2132,-2.6837,0,0,0,0->0,0,0,0,0
119.2311,-2.6837,0,0,0,0->0,0,0,0,0
119.2356,-2.6837,0,0,0,0->0,0,0,0,0
119.2895,-2.6837,0,0,0,0->0,0,0,0,0
119.3973,-2.6837,0,0,0,0->0,0,0,0,0
118.8628,-2.6792,2,2,0,2->2,0,0,0,0
119.038,-2.6792,0,0,0,0->0,0,0,0,0
119.1593,-2.6792,1,1,0,1->1,0,0,0,0
119.2626,-2.6792,0,0,0,0->0,0,0,0,0
119.2671,-2.6792,0,0,0,0->0,0,0,0,0
118.9302,-2.6747,0,0,0,0->0,0,0,0,0
119.0245,-2.6747,0,0,0,0->0,0,0,0,0
119.038,-2.6747,0,0,0,0->0,0,0,0,0
119.1144,-2.6747,0,0,0,0->0,0,0,0,0
119.3883,-2.6747,0,0,0,0->0,0,0,0,0
118.8943,-2.6702,2,2,0,2->2,0,0,0,0
118.9392,-2.6702,0,2,1,0->2,1,0,1,0
119.0335,-2.6702,0,0,0,0->0,0,0,0,0
119.1009,-2.6702,0,0,0,0->0,0,0,0,0
119.1368,-2.6702,0,0,0,0->0,0,0,0,0
119.1548,-2.6702,0,0,0,0->0,0,0,0,0
119.1593,-2.6702,0,0,0,0->0,0,0,0,0
119.1772,-2.6702,1,1,0,1->1,0,0,0,0
119.2805,-2.6702,0,0,0,0->0,0,0,0,0
119.3839,-2.6702,0,0,0,0->0,0,0,0,0
118.9167,-2.6658,1,0,1,1->0,0,1,0,0
118.9706,-2.6658,0,0,0,0->0,0,0,0,0
119.0066,-2.6658,0,0,0,0->0,0,0,0,0
119.0111,-2.6658,0,0,0,0->0,0,0,0,0
119.029,-2.6658,0,0,0,0->0,0,0,0,0
